,id,artist_name,track_name,album_name,artist_genre,artist_popularity,track_popularity,artist_followers,danceability,energy,key,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
1147,0bMbDctzMmTyK2j74j3nF3,Alan Walker,"Alone, Pt. II","Alone, Pt. II",['electro house'],79,75,34143837,179053,0.668,3,-4.306,0.0422,0.536,0.0,0.133,0.608,88.033,179053,4
1148,4WzhjxvLP95y7AMDy0Atwb,Alessia Cara,Out Of Love,The Pains Of Growing,"['canadian contemporary r&b', 'canadian pop', 'dance pop', 'pop', 'post-teen pop']",73,73,10391152,227693,0.267,7,-9.249,0.0339,0.8,0.0,0.249,0.137,117.64,227693,3
1149,4pt5fDVTg5GhEvEtlz9dKk,Måneskin,I WANNA BE YOUR SLAVE,Teatro d'ira - Vol. I,"['indie rock italiano', 'italian pop']",78,84,6086838,173347,0.608,1,-4.008,0.0387,0.00165,0.0,0.178,0.958,132.507,173347,4
1150,13On7DYsJ3IrWxBWuOwM8t,Yerin Baek,Square (2017),Every letter I sent you.,"['k-pop', 'korean pop']",57,56,449344,261763,0.79,8,-5.254,0.0399,0.0633,0.0,0.26,0.528,99.916,261763,4
1151,2zuNdzBq4CPTlKySi2UHth,BROWN EYED SOUL,My Everything,Soul Free,['korean pop'],32,29,45250,293680,0.492,8,-6.806,0.0292,0.279,0.0,0.174,0.207,111.967,293680,3
1152,7qpwhzVCbFqOCO8yUa8exs,Jay Park,좋아 Joah (Remastered),Evolution,"['k-pop', 'k-rap', 'korean r&b']",66,0,1729785,230086,0.903,11,-4.197,0.28,0.382,0.0,0.119,0.731,171.87,230086,4
1154,1QFMj5GGXMY7K30dlpAs7j,Crush,SOFA,SOFA,"['k-pop', 'korean r&b']",63,0,1005119,229573,0.543,10,-5.129,0.0324,0.642,0.0,0.0923,0.29,120.006,229573,4
1155,3eHkFA3StDR9BU7EVrUFLs,SURAN,WINE (Feat.Changmo) (Prod. SUGA),WINE,"['k-pop', 'korean r&b']",54,60,896813,232195,0.644,4,-2.713,0.0447,0.314,0.0,0.105,0.502,145.87,232195,4
1156,37LGPxmWd0LLKt80PKEDfz,Yerin Baek,우주를 건너 Across the universe,FRANK,"['k-pop', 'korean pop']",57,50,449344,247173,0.563,5,-5.477,0.148,0.665,0.0,0.0998,0.449,185.616,247173,4
1160,1c3YKD6HDervPsw0nHxlhh,BROWN EYED SOUL,Nothing Better,"The Wind, The Sea, The Rain",['korean pop'],32,34,45250,263533,0.106,10,-14.856,0.0387,0.969,0.00107,0.109,0.288,95.572,263533,4
1162,7JwuKDRmTGtiNoUo0HhSyr,Lena Park,I hope It would be that way now,Gift,"['k-rock', 'korean pop']",38,14,32979,297037,0.383,8,-8.0,0.0315,0.861,7.98e-05,0.129,0.305,128.987,297037,4
1163,6z1kLsntE7FuzKZHZWrXYN,DEAN,instagram,instagram,"['k-pop', 'korean r&b']",61,69,1249095,255729,0.566,8,-6.195,0.145,0.196,0.0,0.284,0.219,93.921,255729,4
1164,4s5j8hpy5nbgvVU0VLBNtt,Jung In,미워요 I Hate You,정인 Jung In from Andromeda,['korean pop'],37,34,22068,202947,0.602,2,-4.525,0.0319,0.664,3.44e-06,0.112,0.205,135.142,202947,4
1167,1vwoPNoaJ9a1kxntgSWXJ5,BROWN EYED SOUL,Night and Day,It' Soul Right,['korean pop'],32,0,45250,270081,0.549,2,-6.192,0.0402,0.398,0.0,0.133,0.299,164.725,270081,3
1168,3JmlYV4mm5jdo2ZWzATLBv,TAEYANG,새벽한시 (1AM),RISE,['korean r&b'],54,42,823221,191793,0.855,7,-3.131,0.0387,0.0111,0.0,0.186,0.276,173.932,191793,4
1169,73FLxUpcdEuo27Wlk6EAlY,Park Hwayobi,어떤가요,Across The Romantic Bridge,['korean singer-songwriter'],29,34,11977,274625,0.378,2,-7.611,0.0326,0.552,0.0,0.107,0.136,130.975,274625,4
1170,6ieC9SkXMQQPEJSpq69z4K,SE7EN,Come Back to Me,YG 10th Anniversary,['k-pop'],37,22,150149,247333,0.568,10,-6.741,0.0268,0.302,0.0,0.109,0.788,131.986,247333,4
1175,1UtXJrrbTuVLwWfGEWdCXT,Park Hwayobi,그런일은,Across The Romantic Bridge,['korean singer-songwriter'],29,36,11977,264307,0.529,7,-5.556,0.0338,0.646,0.0,0.151,0.157,134.661,264307,4
1176,77dhsfHBiHOBXhJmkEZmV9,BROWN EYED SOUL,You,Thank Your Soul - SIDE A,['korean pop'],32,0,45250,299944,0.464,8,-6.425,0.03,0.629,2.08e-06,0.174,0.202,63.824,299944,3
1177,1vjWdvSKCcnBE5XJl7ygWu,Johan Kim,이밤의끝을잡고,김조한 2집,"['k-rap', 'korean pop']",27,9,6152,314462,0.346,7,-9.117,0.0275,0.881,0.0,0.107,0.414,131.934,314462,4
1178,1WKoaRdUQGSoo8qfiWc1dT,Brown Eyes,비오는 압구정,Reasons 4 Breathing,['k-rock'],33,29,47847,216373,0.631,11,-9.68,0.0281,0.207,0.00451,0.164,0.69,110.011,216373,4
1180,5B6ewNeXBcIDHqzsgAn6Dk,Naul,귀로,Back To The Soul Flight,"['korean city pop', 'korean pop']",37,39,59498,266507,0.558,7,-6.309,0.0315,0.467,1.41e-05,0.157,0.0584,107.94,266507,3
1181,58ZIufs7Zhs8kaNZDd1k4m,Crush,Sometimes,Sometimes,"['k-pop', 'korean r&b']",63,0,1005119,263644,0.585,11,-4.703,0.117,0.19,0.0,0.0735,0.641,92.184,263644,4
1182,1xaLJbuJr6efSW8MFA7vTu,TAEYANG,Only Look At Me (나만 바라봐),Solar International,['korean r&b'],54,50,823221,240920,0.675,2,-5.165,0.0336,0.27,0.0,0.332,0.859,140.048,240920,4
